host_id,crm_entity_id,host_name,host_type,host_level,state_scope,city_or_region,website,event_page_url,news_or_blog_url,instagram_handle,facebook_url,ticketing_hint,priority_tier,comp_likelihood,gym_crm_overlap,status,notes,market_tier,influence_score,footprint_signal,social_reach_signal,event_activity_signal,scene_centrality_signal,influence_notes
host_adrenaline_vault_cockburn,,Adrenaline Vault Cockburn Central,gym_operator,venue,WA,Perth,https://adrenalinevault.com.au/locations/,,,adrenalinevault,,Website/Instagram,B,Medium,Yes,seeded,Cockburn Central venue listed by operator as the second Adrenaline Vault location,major_metro,3,3,4,2,3,Useful southern Perth venue that expands metro coverage and may surface local events.
host_portside_boulders,,Portside Boulders,gym_operator,operator,WA,Perth,https://www.portsideboulders.com.au/,,,portsideboulders,,Instagram/Facebook,B,High,Yes,seeded,WA bouldering operator,major_metro,4,3,4,4,4,Perth operator with strong bouldering relevance and likely repeat event value.
host_portside_oconnor,,Portside Boulders O'Connor,gym_operator,venue,WA,Perth,https://portsideboulders.com.au/locations/oconnor/,,,portsideboulders,,Official locations page,B,High,Yes,seeded,O'Connor venue established in 2017 and described as a beloved Fremantle-area bouldering spot,major_metro,4,3,4,4,4,Important longstanding Portside venue with clear community and event-program relevance.
host_portside_osborne_park,,Portside Boulders Osborne Park,gym_operator,venue,WA,Perth,https://portsideboulders.com.au/locations/osborne-park/,,,portsideboulders,,Official locations page,A,High,Yes,seeded,Osborne Park venue is home to Portside's flagship annual competition West Coast Blocs,major_metro,5,4,4,5,5,One of the most important Perth competition venues based on official operator positioning.
host_rockface,,Rockface,gym_operator,venue,WA,Perth/Balcatta,https://www.rockface.com.au/indoor-climbing/,,,rockfaceclimbing,,Website/Facebook,C,Medium,Yes,seeded,Perth legacy venue now operating from Balcatta after relocating from Northbridge,major_metro,3,2,2,2,3,Legacy Perth venue with useful historic and local scene relevance.
host_oasis_climbing,,Oasis Climbing,gym_operator,venue,WA,Perth,https://www.oasisclimbing.com.au/,,,oasisclimbingcentre,,Facebook,C,Medium,Yes,seeded,WA venue,major_metro,2,2,2,2,2,Perth venue included mainly for metro completeness and potential event pickup.
host_boulder_hub,,The Boulder Hub,gym_operator,venue,WA,Perth,https://www.theboulderhub.com.au/,,,theboulderhub,,Instagram/Facebook,C,Medium,Yes,seeded,WA bouldering venue,major_metro,3,2,3,3,3,Useful Perth bouldering venue with moderate scene value.
host_urban_jungle,,Urban Jungle IRC,gym_operator,venue,WA,Perth,https://www.urbanjungleirc.com.au/,,,urbanjungleirc,,Facebook,C,Low,Yes,seeded,WA venue,major_metro,2,2,2,1,2,Lower-signal Perth venue kept for coverage and occasional event capture.
host_iris_boulders,,Iris Boulders,gym_operator,venue,WA,Perth/Canning Vale,https://www.irisboulders.com.au/,,,iris_boulders,https://www.facebook.com/irisboulders/,Conflicting current-status sources,C,Medium,Yes,needs_review,Perth bouldering gym in Canning Vale with current-looking directory and student-partner references but conflicting platform signals about whether it is still operating,major_metro,3,2,3,2,3,Useful Perth completeness row that should be upgraded or parked after a stronger direct live-source check.
host_hole_in_the_wall,,Hole in the Wall Indoor Bouldering,gym_operator,venue,WA,Rockingham,https://www.thecrag.com/en/climbing/australia/western-australia/perth/area/2163988161,,,holeinthewallbouldering,https://www.facebook.com/pg/holeinthewallbouldering/,Facebook via theCrag,C,Low,Yes,needs_review,Small Rockingham bouldering venue surfaced consistently through theCrag and directory listings but still lacking a strong direct official site capture,local,2,1,2,1,2,Useful south-of-Perth completeness row that should stay low priority until stronger live-source verification is captured.
host_boulder_island_albany,,Boulder Island,gym_operator,venue,WA,Albany,https://albanyindooradventures.com.au/boulder-island/,,https://albanyindooradventures.com.au/,,https://www.facebook.com/albanyindooradventures/,Official website,C,Low,Yes,parked,Albany indoor bouldering facility within Albany Indoor Adventures but the official site currently says the wider venue is closed until further notice due to public-liability insurance complications,regional_anchor,2,2,2,1,2,Still worth retaining as a south-coast WA lead but it should remain parked until the closure situation changes.
host_laneway_boulders,,Laneway Boulders,gym_operator,venue,SA,Adelaide,https://lanewayboulders.com.au/,,,lanewayboulders,,Instagram/Facebook,B,High,Yes,seeded,Adelaide bouldering venue,major_metro,4,3,4,4,4,High-value Adelaide venue with strong local bouldering and event relevance.
host_adelaides_bouldering_club,,Adelaide's Bouldering Club,gym_operator,venue,SA,Adelaide,https://www.aboulderclub.com/,,,aboulderclub,,Instagram/Facebook,B,Medium,Yes,seeded,Adelaide venue,major_metro,3,2,3,3,3,Adelaide venue with credible local scene and community value.
host_southern_boulder,,Southern Boulder,gym_operator,venue,SA,Hope Forest/McLaren Vale,https://southernboulder.com.au/,,,southernboulder,,State-club and directory corroboration,C,Low,Yes,needs_review,Fleurieu Peninsula bouldering venue referenced by the Climbing Club of South Australia and multiple live directories but still lacking a confidently captured current official web snippet in this pass,regional_anchor,2,2,2,1,2,Useful Adelaide-region completeness row that should be revisited for stronger direct verification.
host_vertical_reality_climbing,,Vertical Reality Climbing,gym_operator,venue,SA,Adelaide/Holden Hill,https://www.verticalrealityclimbing.com/,,,verticalrealityclimbing,,Official website,B,High,Yes,verified,Established Adelaide rope and bouldering gym with current pricing safety induction and youth programming on its official site,major_metro,4,3,3,4,4,Important Adelaide ropes venue and likely one of the city's main competition-capable legacy gyms.
host_mountain_strong,,Mountain Strong,gym_operator,venue,ACT,Canberra,https://www.mountainstrong.com.au/,,,mountainstrong,,Instagram/Facebook,C,Medium,Yes,seeded,Canberra venue,regional_anchor,3,2,3,3,3,One of the more important Canberra-area venues for local scene tracking.
host_canberra_indoor,,Canberra Indoor Rock Climbing,gym_operator,venue,ACT,Canberra,https://www.canberraclimbing.com.au/,,,canberraindoorrockclimbing,,Facebook,C,Medium,Yes,seeded,Canberra venue,regional_anchor,3,2,2,2,3,Useful Canberra coverage venue with local scene importance.
host_gecko_climb,,Gecko Climb,gym_operator,venue,NT,Darwin,https://geckoclimb.com.au/,,,geckoclimb,,Official website,B,Medium,Yes,verified,Darwin climbing and bouldering gym with ropes autobelays training area and event-capable function room,regional_anchor,4,3,3,3,4,Darwin's only clear indoor climbing hub and therefore a must-track Northern Territory anchor despite the small market.
host_kilgariff_recreation_centre,,Kilgariff Recreation Centre Rock Climbing,venue_operator,venue,NT,Alice Springs,https://krc.ymca.org.au/sport/rock-climbing,,https://krc.ymca.org.au/about/krc-facilities,,https://www.facebook.com/kilgariffrecreationcentre/,Official website,C,Low,Yes,verified,Alice Springs YMCA recreation centre with scheduled indoor rockwall sessions private bookings and rock-climbing membership access on its official site,regional_anchor,2,2,1,1,2,Not a dedicated climbing gym but still a real indoor climbing venue and important for full Northern Territory coverage.
host_rock_it_hobart,,Rock It Climbing Centre,gym_operator,venue,TAS,Hobart,https://www.rockitclimbing.com.au/,,,rockitclimbingcentre,,Official website,B,Medium,Yes,verified,Hobart climbing centre with ropes bouldering caving and long-running local scene presence,regional_anchor,4,3,3,3,4,Hobart's strongest all-round indoor climbing venue and one of Tasmania's most important host nodes.
host_beta_park,,Beta Park Bouldering,gym_operator,venue,TAS,Launceston,https://betapark.com.au/,,,betaparkbouldering,,Official website,B,High,Yes,verified,Launceston bouldering gym with comps events and youth programming visible on its official site and Linktree,regional_anchor,4,3,4,4,4,Key north Tasmania venue with stronger event signal than a typical small-market gym.
host_launceston_indoor,,Launceston Indoor Rock Climbing,gym_operator,venue,TAS,Launceston,http://www.lirc.com.au/,,,launcestonindoorrockclimbing,https://www.facebook.com/293859854119175,Directory and local-site corroboration,C,Medium,Yes,needs_review,Additional Launceston indoor climbing centre near the CBD with autobelays and multiple current-looking directory references but a weaker direct official web surface than Beta Park,regional_anchor,3,2,2,2,3,Useful second Launceston venue that should be confirmed more directly before it is treated as fully verified.
host_blochaus_canberra_fyshwick,,BlocHaus Canberra Fyshwick,gym_operator,venue,ACT,Canberra,https://cbr.blochaus.com.au/,https://cbr.blochaus.com.au/community/,https://cbr.blochaus.com.au/about/,blochauscbr,,Website/classes,B,Medium,Yes,seeded,Canberra BlocHaus venue in Fyshwick with family and community programming,regional_anchor,4,3,4,3,4,One of the most visible Canberra bouldering venues and part of a wider operator network.
host_blochaus_canberra_mitchell,,BlocHaus Canberra Mitchell,gym_operator,venue,ACT,Canberra,https://cbr.blochaus.com.au/,https://cbr.blochaus.com.au/community/,https://cbr.blochaus.com.au/about/,blochauscbr,,Website/classes,B,Medium,Yes,seeded,Second Canberra BlocHaus venue in Mitchell with parkour and adult-focused facilities,regional_anchor,3,2,4,2,4,Important second Canberra venue that broadens BlocHaus event and community reach.
host_sicg,,Sydney Indoor Climbing Gym,gym_operator,operator,NSW,Sydney,https://www.indoorclimbing.com.au/index.html,,,sydneyindoorclimbingstpeters,,Website/Facebook,A,High,Yes,seeded,Large Sydney operator with major St Peters and Villawood facilities,major_metro,4,4,3,5,4,Longstanding Sydney operator with major comp-capable facilities and deep scene centrality.
host_sicg_st_peters,,Sydney Indoor Climbing Gym St Peters,gym_operator,venue,NSW,Sydney,https://indoorclimbing.com.au/stpeters/,,https://indoorclimbing.com.au/stpeters/take-the-tour/,sydneyindoorclimbingstpeters,,Website/Facebook,A,High,Yes,seeded,St Peters venue described as the Southern Hemisphere's biggest climbing gym and host of a world youth championship,major_metro,5,5,4,5,5,One of the most important competition-capable venues in Sydney and likely a top-tier host nationally.
host_elevate_villawood,,Elevate Climbing Gym,gym_operator,venue,NSW,Sydney,https://www.elevateclimbing.com.au/about/,,,elevateclimbinggym,,Website/Facebook,B,High,Yes,seeded,Current Villawood climbing gym formerly known as Sydney Indoor Climbing Gym Villawood,major_metro,4,4,3,4,4,Large western Sydney venue with strong event and youth-program potential and clear rebrand evidence.
host_cutloose,,Cutloose Indoor Climbing,gym_operator,venue,QLD,Upper Coomera/Gold Coast,https://cutlooseindoorclimbing.com.au/,,https://cutlooseindoorclimbing.com.au/contact/,cutlooseindoorclimbing,,Website/Instagram,B,High,Yes,seeded,Northern Gold Coast bouldering gym and 2025 QLD Open and Youth Boulder Titles host,major_metro,4,3,4,5,4,Important Gold Coast and SEQ event host with direct state-title relevance.
host_climb_brisbane,,Climb Brisbane,gym_operator,venue,QLD,Parkinson/Brisbane,https://climb-australia.com.au/brisbane-contact-us/,,,climbbrisbane,,Website/SCQ,A,High,Yes,seeded,Brisbane venue listed by SCQ as host of the 2025 QLD Open Lead Titles,major_metro,4,3,3,5,4,High-priority Brisbane venue because of direct state-title hosting and likely youth/lead relevance.
host_climb_toowoomba,,Climb Toowoomba,gym_operator,venue,QLD,Toowoomba,https://climb-australia.com.au/toowoomba/,https://climb-australia.com.au/toowoomba-sensory-sessions/,,,,Website/Facebook,B,Medium,Yes,seeded,Toowoomba bouldering gym opened in 2024 and is linked publicly to the Climb Brisbane owner/operator,regional_anchor,3,2,3,2,3,Potentially important regional venue that broadens SEQ coverage beyond Brisbane and the Gold Coast.
host_mandurah_irc,,Mandurah Indoor Rock Climbing,gym_operator,venue,WA,Mandurah,https://www.mandurahrockclimbing.com/,https://www.mandurahrockclimbing.com/activity-day/,https://www.mandurahrockclimbing.com/school-holidays/,,https://www.facebook.com/mandurahindoorrockclimbing/,Official website and tourism pages,B,Medium,Yes,verified,Active Mandurah ropes and bouldering venue with school-holiday programming social climbs and tourism listings pointing to a current official site,regional_anchor,3,3,3,3,3,Clear regional WA anchor with broader programming than a simple coverage-only venue and enough current evidence to treat as verified.
host_portside_willetton,,Portside Boulders Willetton,gym_operator,venue,WA,Perth,https://portsideboulders.com.au/locations/willetton/,,,portsideboulders,,Website/Instagram,B,High,Yes,seeded,Willetton venue opened in 2021 and is a major Portside location in Perth's south,major_metro,4,3,4,4,4,Strong Perth bouldering venue with clear community and event-program relevance.
host_portside_joondalup,,Portside Boulders Joondalup,gym_operator,venue,WA,Perth,https://portsideboulders.com.au/locations/joondalup/,https://portsideboulders.com.au/whatson/joondalup-grand-opening/,,portsideboulders,,Website/Instagram,B,Medium,Yes,seeded,Newest Portside venue serving Perth's northern suburbs,major_metro,3,3,4,3,4,Important newer Perth venue that expands operator coverage and may develop event history quickly.
host_urban_climb_blackburn,,Urban Climb Blackburn,gym_operator,venue,VIC,Melbourne,https://urbanclimb.com.au/,,,urbanclimbau,,Accessibility/community sources,A,High,Yes,seeded,Large Urban Climb rope and bouldering centre in Blackburn with strong community and accessibility signals,major_metro,5,5,5,4,5,Strong candidate for one of the most influential Melbourne gyms based on scale visibility and operator strength.
host_urban_climb_collingwood,,Urban Climb Collingwood,gym_operator,venue,VIC,Melbourne,https://urbanclimb.com.au/locations/collingwood/,,,urbanclimbau,,Website/third-party,B,Medium,Yes,seeded,Collingwood Urban Climb bouldering venue with training and community features,major_metro,4,3,4,3,4,High-value inner-Melbourne bouldering venue inside a strong operator network.
host_urban_climb_west_end,,Urban Climb West End,gym_operator,venue,QLD,Brisbane,https://urbanclimb.com.au/,,,urbanclimbau,,ATDW/city listing,A,High,Yes,seeded,Major Brisbane Urban Climb ropes venue at West End with all-ages access,major_metro,5,5,5,4,5,Flagship Brisbane venue with very strong scale and community visibility.
host_urban_climb_newstead,,Urban Climb Newstead,gym_operator,venue,QLD,Brisbane,https://urbanclimb.com.au/,,,urbanclimbau,,ATDW/third-party listing,B,Medium,Yes,seeded,Newstead Urban Climb bouldering venue listed as part of the Brisbane network,major_metro,4,3,4,3,4,Important Brisbane bouldering venue in a strong operator network.
host_urban_climb_milton,,Urban Climb Milton,gym_operator,venue,QLD,Brisbane,https://urbanclimb.com.au/,,,urbanclimbau,,ATDW/third-party listing,B,Medium,Yes,seeded,Milton Urban Climb bouldering venue listed as part of the Brisbane network,major_metro,4,3,4,3,4,Useful inner-Brisbane bouldering venue with clear operator overlap.
host_urban_climb_townsville,,Urban Climb Townsville,gym_operator,venue,QLD,Townsville,https://urbanclimb.com.au/,,,urbanclimbau,,Event listing/official contact,B,Medium,Yes,seeded,Townsville Urban Climb venue confirmed via official youth-program event listing,regional_anchor,3,3,3,3,3,Important regional operator outpost that broadens Urban Climb's Queensland footprint.
host_cliffhanger,,Cliffhanger Climbing Gym,gym_operator,venue,VIC,Melbourne/Altona North,https://cliffhanger.com.au/,,,cliffhangerclimbing,,Website/theCrag,B,High,Yes,seeded,Iconic Melbourne venue described as the tallest indoor climbing gym in Australia and reborn in 2022,major_metro,4,4,3,4,5,Historic Melbourne venue with outsized scene identity and competition-capable infrastructure.
host_urban_climb_adelaide,,Urban Climb Adelaide,gym_operator,venue,SA,Adelaide,https://urbanclimb.com.au/,,,urbanclimbau,,Official city listing/B2B coverage,B,Medium,Yes,seeded,Urban Climb's first Adelaide venue opened in August 2024 in a multi-level former cinema on Hindley Street,major_metro,4,3,4,3,4,Prominent new Adelaide venue under a strong national operator and likely to become central quickly.
host_vertical_life,,Vertical Life,media,event_brand,Australia,Australia,https://verticallifemag.com.au/,,,verticallifemag,,Editorial and recap pages,B,Medium,No,seeded,May surface comps and sponsors and event recaps,national,3,3,4,2,4,National climbing media source with strong discovery value for recaps and sponsor mapping.
host_the_crag,,theCrag,platform,event_brand,Australia,Australia,https://www.thecrag.com/,,,thecrag,,Event listings,C,Low,No,seeded,Useful discovery source rather than primary host,national,2,3,3,1,3,Discovery platform useful for finding venues and listings but not a primary host itself.
